customer_id,acquisition_source,acquisition_date,company_size,industry,initial_subscription_tier,trial_to_paid_days,is_active
1000,HubSpot,2024-05-07,Large (201-1000),Education,Business,,True
1001,HubSpot,2024-04-22,Large (201-1000),Healthcare,Business,19.0,True
1002,HubSpot,2024-04-05,Large (201-1000),Finance,Business,28.0,True
1003,HubSpot,2024-05-13,Small (1-50),Manufacturing,Starter,12.0,True
1004,HubSpot,2024-02-18,Medium (51-200),Technology,Business,8.0,True
1005,HubSpot,2024-03-06,Large (201-1000),Healthcare,Business,25.0,True
1006,HubSpot,2024-02-24,Medium (51-200),Retail,Business,27.0,True
1007,HubSpot,2024-02-17,Medium (51-200),Education,Professional,15.0,True
1008,HubSpot,2024-03-09,Enterprise (1000+),Healthcare,Enterprise,11.0,True
1009,HubSpot,2024-01-26,Small (1-50),Healthcare,Starter,28.0,True
1010,HubSpot,2024-01-23,Enterprise (1000+),Manufacturing,Enterprise,23.0,True
1011,HubSpot,2024-03-25,Small (1-50),Education,Starter,15.0,True
1012,HubSpot,2024-02-27,Small (1-50),Retail,Professional,7.0,True
1013,HubSpot,2024-05-06,Large (201-1000),Manufacturing,Business,27.0,True
1014,HubSpot,2024-04-05,Medium (51-200),Finance,Professional,24.0,True
1015,HubSpot,2024-05-12,Small (1-50),Retail,Professional,,True
1016,HubSpot,2024-05-06,Large (201-1000),Technology,Business,25.0,True
1017,HubSpot,2024-01-25,Enterprise (1000+),Manufacturing,Business,11.0,True
1018,HubSpot,2024-03-25,Medium (51-200),Manufacturing,Business,20.0,True
1019,HubSpot,2024-05-12,Medium (51-200),Retail,Business,27.0,True
1020,HubSpot,2024-05-09,Enterprise (1000+),Healthcare,Business,17.0,False
1021,HubSpot,2024-03-25,Medium (51-200),Technology,Professional,,True
1022,HubSpot,2024-02-13,Small (1-50),Finance,Starter,,True
1023,HubSpot,2024-04-09,Enterprise (1000+),Manufacturing,Business,,True
1024,HubSpot,2024-03-28,Enterprise (1000+),Retail,Business,13.0,False
1025,HubSpot,2024-04-08,Enterprise (1000+),Retail,Enterprise,30.0,False
1026,HubSpot,2024-04-07,Small (1-50),Retail,Starter,10.0,True
1027,HubSpot,2024-02-08,Enterprise (1000+),Retail,Business,21.0,True
1028,HubSpot,2024-05-12,Small (1-50),Manufacturing,Professional,,True
1029,HubSpot,2024-03-24,Small (1-50),Healthcare,Starter,22.0,True
1030,HubSpot,2024-05-04,Enterprise (1000+),Healthcare,Business,19.0,True
1031,HubSpot,2024-04-24,Enterprise (1000+),Retail,Enterprise,30.0,True
1032,HubSpot,2024-03-26,Enterprise (1000+),Healthcare,Business,8.0,True
1033,HubSpot,2024-03-24,Small (1-50),Technology,Professional,,True
1034,HubSpot,2024-05-11,Medium (51-200),Manufacturing,Professional,,True
1035,HubSpot,2024-03-31,Small (1-50),Retail,Starter,,True
1036,HubSpot,2024-02-15,Small (1-50),Retail,Starter,25.0,True
1037,HubSpot,2024-05-13,Large (201-1000),Education,Business,14.0,True
1038,HubSpot,2024-01-31,Large (201-1000),Finance,Enterprise,9.0,False
1039,HubSpot,2024-04-03,Small (1-50),Manufacturing,Starter,15.0,True
1040,HubSpot,2024-02-28,Small (1-50),Finance,Starter,21.0,True
1041,HubSpot,2024-04-14,Large (201-1000),Education,Business,16.0,True
1042,HubSpot,2024-01-28,Medium (51-200),Technology,Business,30.0,True
1043,HubSpot,2024-02-18,Large (201-1000),Education,Business,28.0,True
1044,HubSpot,2024-02-17,Enterprise (1000+),Technology,Enterprise,,True
1045,HubSpot,2024-02-19,Small (1-50),Finance,Starter,27.0,True
1046,HubSpot,2024-02-04,Enterprise (1000+),Manufacturing,Enterprise,,False
1047,HubSpot,2024-05-07,Medium (51-200),Finance,Professional,11.0,True
1048,HubSpot,2024-01-20,Large (201-1000),Technology,Enterprise,13.0,True
1049,HubSpot,2024-04-09,Small (1-50),Manufacturing,Professional,20.0,True
1050,HubSpot,2024-04-19,Medium (51-200),Healthcare,Professional,12.0,True
1051,HubSpot,2024-01-18,Medium (51-200),Retail,Business,30.0,True
1052,HubSpot,2024-02-18,Medium (51-200),Retail,Professional,22.0,True
1053,HubSpot,2024-04-28,Enterprise (1000+),Finance,Enterprise,14.0,True
1054,HubSpot,2024-04-08,Medium (51-200),Finance,Business,9.0,True
1055,HubSpot,2024-02-19,Large (201-1000),Education,Enterprise,24.0,True
1056,HubSpot,2024-01-18,Small (1-50),Healthcare,Professional,15.0,False
1057,HubSpot,2024-03-31,Enterprise (1000+),Education,Enterprise,20.0,True
1058,HubSpot,2024-03-20,Small (1-50),Manufacturing,Professional,8.0,True
1059,HubSpot,2024-01-15,Medium (51-200),Retail,Business,,True
1060,HubSpot,2024-02-26,Large (201-1000),Education,Business,23.0,True
1061,HubSpot,2024-03-07,Large (201-1000),Education,Enterprise,11.0,True
1062,HubSpot,2024-04-09,Enterprise (1000+),Manufacturing,Business,19.0,True
1063,HubSpot,2024-01-15,Large (201-1000),Healthcare,Enterprise,25.0,True
1064,HubSpot,2024-02-25,Enterprise (1000+),Retail,Enterprise,23.0,True
1065,HubSpot,2024-05-09,Medium (51-200),Finance,Professional,27.0,True
1066,HubSpot,2024-01-26,Medium (51-200),Healthcare,Business,11.0,False
1067,HubSpot,2024-02-15,Enterprise (1000+),Retail,Business,27.0,True
1068,HubSpot,2024-04-15,Enterprise (1000+),Retail,Enterprise,27.0,True
1069,HubSpot,2024-05-08,Small (1-50),Healthcare,Professional,29.0,True
1070,HubSpot,2024-01-21,Medium (51-200),Retail,Professional,,True
1071,HubSpot,2024-03-22,Large (201-1000),Manufacturing,Enterprise,23.0,True
1072,HubSpot,2024-05-10,Enterprise (1000+),Education,Business,21.0,True
1073,HubSpot,2024-02-15,Large (201-1000),Education,Enterprise,21.0,False
1074,HubSpot,2024-02-20,Medium (51-200),Finance,Business,24.0,False
1075,HubSpot,2024-02-03,Medium (51-200),Education,Business,13.0,False
1076,HubSpot,2024-03-07,Large (201-1000),Retail,Enterprise,,True
1077,HubSpot,2024-03-04,Small (1-50),Retail,Professional,,True
1078,HubSpot,2024-04-20,Enterprise (1000+),Manufacturing,Enterprise,24.0,True
1079,HubSpot,2024-05-08,Medium (51-200),Healthcare,Business,22.0,False
1080,HubSpot,2024-02-27,Enterprise (1000+),Retail,Business,26.0,True
1081,HubSpot,2024-05-10,Enterprise (1000+),Technology,Business,11.0,True
1082,HubSpot,2024-02-07,Small (1-50),Retail,Professional,21.0,True
1083,HubSpot,2024-04-21,Enterprise (1000+),Retail,Enterprise,9.0,True
1084,HubSpot,2024-04-19,Small (1-50),Healthcare,Professional,27.0,False
1085,HubSpot,2024-01-18,Medium (51-200),Technology,Professional,14.0,True
1086,HubSpot,2024-04-09,Small (1-50),Retail,Starter,18.0,True
1087,HubSpot,2024-04-01,Small (1-50),Finance,Starter,,False
1088,HubSpot,2024-02-23,Enterprise (1000+),Education,Enterprise,25.0,True
1089,HubSpot,2024-04-04,Medium (51-200),Education,Professional,28.0,True
1090,HubSpot,2024-01-30,Small (1-50),Manufacturing,Professional,18.0,False
1091,HubSpot,2024-04-06,Large (201-1000),Retail,Business,10.0,True
1092,HubSpot,2024-03-01,Enterprise (1000+),Retail,Business,23.0,True
1093,HubSpot,2024-02-18,Enterprise (1000+),Retail,Enterprise,25.0,True
1094,HubSpot,2024-05-03,Medium (51-200),Finance,Professional,14.0,True
1095,HubSpot,2024-03-27,Enterprise (1000+),Technology,Enterprise,17.0,True
1096,HubSpot,2024-02-11,Large (201-1000),Finance,Enterprise,26.0,True
1097,HubSpot,2024-02-19,Small (1-50),Technology,Starter,20.0,True
1098,HubSpot,2024-04-21,Medium (51-200),Education,Business,21.0,True
1099,HubSpot,2024-01-26,Large (201-1000),Retail,Business,16.0,True
1100,HubSpot,2024-03-02,Enterprise (1000+),Retail,Enterprise,24.0,True
1101,HubSpot,2024-04-13,Enterprise (1000+),Finance,Enterprise,10.0,True
1102,HubSpot,2024-02-24,Small (1-50),Healthcare,Starter,22.0,True
1103,HubSpot,2024-03-30,Large (201-1000),Healthcare,Business,18.0,True
1104,HubSpot,2024-01-16,Medium (51-200),Technology,Business,24.0,True
1105,HubSpot,2024-05-14,Medium (51-200),Technology,Business,25.0,True
1106,HubSpot,2024-03-16,Enterprise (1000+),Healthcare,Enterprise,15.0,True
1107,HubSpot,2024-03-16,Small (1-50),Retail,Starter,25.0,True
1108,HubSpot,2024-01-21,Medium (51-200),Manufacturing,Professional,9.0,True
1109,HubSpot,2024-01-30,Enterprise (1000+),Manufacturing,Business,21.0,True
1110,HubSpot,2024-03-30,Enterprise (1000+),Manufacturing,Enterprise,26.0,True
1111,HubSpot,2024-01-27,Medium (51-200),Finance,Professional,12.0,True
1112,HubSpot,2024-03-25,Small (1-50),Technology,Starter,29.0,True
1113,HubSpot,2024-02-21,Small (1-50),Finance,Starter,29.0,True
1114,HubSpot,2024-01-24,Medium (51-200),Education,Business,13.0,True
1115,HubSpot,2024-03-24,Medium (51-200),Finance,Professional,9.0,False
1116,HubSpot,2024-04-25,Large (201-1000),Retail,Enterprise,,True
1117,HubSpot,2024-04-13,Enterprise (1000+),Manufacturing,Enterprise,21.0,False
1118,HubSpot,2024-01-20,Enterprise (1000+),Manufacturing,Enterprise,9.0,True
1119,HubSpot,2024-04-10,Small (1-50),Manufacturing,Professional,,True
1120,HubSpot,2024-03-15,Enterprise (1000+),Healthcare,Enterprise,20.0,True
1121,HubSpot,2024-03-17,Small (1-50),Finance,Professional,17.0,True
1122,HubSpot,2024-05-03,Medium (51-200),Retail,Business,16.0,True
1123,HubSpot,2024-03-06,Small (1-50),Technology,Professional,17.0,False
1124,HubSpot,2024-04-22,Enterprise (1000+),Education,Business,21.0,True
1125,HubSpot,2024-02-08,Large (201-1000),Education,Enterprise,8.0,True
1126,HubSpot,2024-03-25,Medium (51-200),Retail,Business,22.0,True
1127,HubSpot,2024-04-04,Medium (51-200),Finance,Professional,24.0,True
1128,HubSpot,2024-02-12,Small (1-50),Technology,Professional,11.0,True
1129,HubSpot,2024-04-15,Large (201-1000),Retail,Enterprise,22.0,True
1130,HubSpot,2024-03-25,Medium (51-200),Healthcare,Business,23.0,True
1131,HubSpot,2024-02-01,Small (1-50),Retail,Professional,23.0,True
1132,HubSpot,2024-01-15,Large (201-1000),Manufacturing,Enterprise,28.0,True
1133,HubSpot,2024-02-03,Enterprise (1000+),Finance,Enterprise,24.0,True
1134,HubSpot,2024-05-13,Large (201-1000),Education,Business,19.0,True
1135,HubSpot,2024-04-23,Enterprise (1000+),Finance,Business,29.0,True
1136,HubSpot,2024-03-03,Enterprise (1000+),Retail,Business,11.0,True
1137,HubSpot,2024-03-30,Large (201-1000),Retail,Business,,True
1138,HubSpot,2024-01-16,Medium (51-200),Education,Business,9.0,True
1139,HubSpot,2024-02-17,Large (201-1000),Education,Enterprise,,True
1140,HubSpot,2024-04-10,Enterprise (1000+),Education,Enterprise,22.0,True
1141,HubSpot,2024-01-19,Small (1-50),Education,Starter,16.0,True
1142,HubSpot,2024-04-19,Small (1-50),Technology,Professional,29.0,True
1143,HubSpot,2024-03-11,Medium (51-200),Technology,Business,,True
1144,HubSpot,2024-02-21,Large (201-1000),Retail,Enterprise,,True
1145,HubSpot,2024-03-27,Medium (51-200),Healthcare,Professional,,True
1146,HubSpot,2024-04-03,Medium (51-200),Manufacturing,Business,,True
1147,HubSpot,2024-02-16,Enterprise (1000+),Education,Enterprise,,True
1148,HubSpot,2024-05-09,Large (201-1000),Technology,Business,18.0,True
1149,HubSpot,2024-02-22,Enterprise (1000+),Retail,Enterprise,13.0,True
1150,HubSpot,2024-05-03,Enterprise (1000+),Healthcare,Business,18.0,True
1151,HubSpot,2024-04-13,Large (201-1000),Education,Business,7.0,True
1152,HubSpot,2024-04-11,Small (1-50),Finance,Professional,14.0,True
1153,HubSpot,2024-02-29,Medium (51-200),Manufacturing,Professional,30.0,True
1154,HubSpot,2024-04-11,Medium (51-200),Education,Professional,16.0,True
1155,HubSpot,2024-01-19,Large (201-1000),Technology,Business,17.0,True
1156,HubSpot,2024-02-06,Medium (51-200),Manufacturing,Professional,18.0,True
1157,HubSpot,2024-05-10,Large (201-1000),Finance,Business,22.0,True
1158,HubSpot,2024-02-21,Large (201-1000),Retail,Business,11.0,True
1159,HubSpot,2024-02-12,Enterprise (1000+),Technology,Enterprise,7.0,True
1160,HubSpot,2024-01-30,Enterprise (1000+),Education,Enterprise,15.0,True
1161,HubSpot,2024-04-29,Large (201-1000),Education,Business,7.0,True
1162,HubSpot,2024-05-14,Large (201-1000),Education,Business,,True
1163,HubSpot,2024-05-10,Large (201-1000),Technology,Enterprise,,True
1164,HubSpot,2024-02-22,Enterprise (1000+),Technology,Business,24.0,True
1165,HubSpot,2024-03-13,Large (201-1000),Manufacturing,Enterprise,11.0,True
1166,HubSpot,2024-04-07,Small (1-50),Manufacturing,Professional,15.0,False
1167,HubSpot,2024-03-02,Medium (51-200),Retail,Business,18.0,False
1168,HubSpot,2024-04-11,Large (201-1000),Technology,Enterprise,13.0,True
1169,HubSpot,2024-05-02,Enterprise (1000+),Education,Business,27.0,True
1170,HubSpot,2024-01-17,Small (1-50),Healthcare,Professional,25.0,True
1171,HubSpot,2024-04-30,Medium (51-200),Healthcare,Professional,11.0,True
1172,HubSpot,2024-03-31,Small (1-50),Healthcare,Professional,24.0,True
1173,HubSpot,2024-02-06,Small (1-50),Healthcare,Starter,,True
1174,HubSpot,2024-02-14,Large (201-1000),Healthcare,Business,11.0,True
1175,HubSpot,2024-03-22,Small (1-50),Retail,Starter,18.0,True
1176,HubSpot,2024-01-28,Enterprise (1000+),Manufacturing,Business,,True
1177,HubSpot,2024-05-04,Large (201-1000),Education,Enterprise,8.0,True
1178,HubSpot,2024-05-02,Enterprise (1000+),Education,Enterprise,,True
1179,HubSpot,2024-03-11,Small (1-50),Finance,Starter,9.0,True
1180,HubSpot,2024-04-03,Large (201-1000),Manufacturing,Enterprise,21.0,True
1181,HubSpot,2024-03-10,Small (1-50),Education,Starter,24.0,True
1182,HubSpot,2024-02-11,Enterprise (1000+),Healthcare,Enterprise,21.0,True
1183,HubSpot,2024-04-17,Small (1-50),Retail,Professional,15.0,True
1184,HubSpot,2024-02-03,Enterprise (1000+),Technology,Business,9.0,True
1185,HubSpot,2024-04-19,Large (201-1000),Manufacturing,Business,,True
1186,HubSpot,2024-03-26,Large (201-1000),Retail,Business,28.0,True
1187,HubSpot,2024-03-09,Small (1-50),Manufacturing,Professional,10.0,True
1188,HubSpot,2024-02-11,Medium (51-200),Healthcare,Business,18.0,True
1189,HubSpot,2024-03-02,Small (1-50),Manufacturing,Professional,20.0,True
1190,HubSpot,2024-04-22,Small (1-50),Technology,Professional,29.0,True
1191,HubSpot,2024-05-11,Large (201-1000),Technology,Enterprise,11.0,True
1192,HubSpot,2024-03-06,Small (1-50),Education,Starter,7.0,False
1193,HubSpot,2024-03-22,Medium (51-200),Retail,Business,12.0,True
1194,HubSpot,2024-04-16,Large (201-1000),Technology,Business,26.0,False
1195,HubSpot,2024-01-25,Large (201-1000),Education,Enterprise,26.0,True
1196,HubSpot,2024-02-18,Medium (51-200),Finance,Professional,16.0,True
1197,HubSpot,2024-03-30,Enterprise (1000+),Technology,Enterprise,26.0,False
1198,HubSpot,2024-02-10,Large (201-1000),Healthcare,Business,16.0,True
1199,HubSpot,2024-01-15,Enterprise (1000+),Healthcare,Enterprise,,True
1200,HubSpot,2024-02-13,Large (201-1000),Retail,Business,8.0,True
1201,HubSpot,2024-03-13,Small (1-50),Manufacturing,Professional,19.0,True
1202,HubSpot,2024-03-08,Large (201-1000),Retail,Business,,True
1203,HubSpot,2024-04-26,Enterprise (1000+),Technology,Enterprise,10.0,True
1204,HubSpot,2024-03-30,Enterprise (1000+),Retail,Business,30.0,True
1205,HubSpot,2024-02-26,Medium (51-200),Manufacturing,Professional,23.0,True
1206,HubSpot,2024-05-09,Large (201-1000),Education,Enterprise,27.0,True
1207,HubSpot,2024-02-14,Small (1-50),Finance,Starter,26.0,True
1208,HubSpot,2024-04-21,Small (1-50),Education,Starter,25.0,True
1209,HubSpot,2024-03-12,Large (201-1000),Healthcare,Enterprise,22.0,True
1210,HubSpot,2024-02-22,Large (201-1000),Finance,Business,16.0,True
1211,HubSpot,2024-01-19,Small (1-50),Finance,Professional,,True
1212,HubSpot,2024-05-03,Small (1-50),Retail,Professional,30.0,True
1213,HubSpot,2024-03-12,Medium (51-200),Manufacturing,Business,11.0,True
1214,HubSpot,2024-03-12,Small (1-50),Education,Professional,,True
1215,HubSpot,2024-01-20,Medium (51-200),Retail,Business,26.0,True
1216,HubSpot,2024-03-02,Large (201-1000),Retail,Enterprise,28.0,True
1217,HubSpot,2024-04-25,Large (201-1000),Finance,Business,,True
1218,HubSpot,2024-02-20,Large (201-1000),Finance,Business,,True
1219,HubSpot,2024-05-11,Large (201-1000),Education,Enterprise,19.0,True
1220,HubSpot,2024-04-14,Small (1-50),Manufacturing,Professional,17.0,True
1221,HubSpot,2024-04-09,Small (1-50),Manufacturing,Professional,18.0,True
1222,HubSpot,2024-02-11,Large (201-1000),Healthcare,Enterprise,11.0,True
1223,HubSpot,2024-02-21,Small (1-50),Education,Starter,26.0,True
1224,HubSpot,2024-03-03,Medium (51-200),Healthcare,Professional,26.0,True
1225,HubSpot,2024-02-05,Enterprise (1000+),Retail,Business,30.0,True
1226,HubSpot,2024-03-11,Large (201-1000),Healthcare,Enterprise,16.0,True
1227,HubSpot,2024-04-24,Enterprise (1000+),Finance,Business,25.0,True
1228,HubSpot,2024-03-14,Large (201-1000),Manufacturing,Enterprise,12.0,True
1229,HubSpot,2024-04-26,Medium (51-200),Technology,Business,18.0,True
1230,HubSpot,2024-01-28,Small (1-50),Technology,Professional,15.0,True
1231,HubSpot,2024-03-20,Medium (51-200),Technology,Business,14.0,True
1232,HubSpot,2024-05-07,Large (201-1000),Retail,Business,,True
1233,HubSpot,2024-02-14,Enterprise (1000+),Finance,Business,17.0,True
1234,HubSpot,2024-05-01,Large (201-1000),Healthcare,Business,,True
1235,HubSpot,2024-03-15,Medium (51-200),Retail,Business,9.0,False
1236,HubSpot,2024-02-11,Medium (51-200),Technology,Business,14.0,True
1237,HubSpot,2024-01-21,Medium (51-200),Education,Business,21.0,False
1238,HubSpot,2024-05-01,Enterprise (1000+),Education,Business,14.0,True
1239,HubSpot,2024-02-21,Enterprise (1000+),Manufacturing,Business,25.0,True
1240,HubSpot,2024-04-09,Small (1-50),Technology,Professional,24.0,True
1241,HubSpot,2024-03-19,Small (1-50),Retail,Professional,,True
1242,HubSpot,2024-03-02,Large (201-1000),Finance,Business,18.0,True
1243,HubSpot,2024-04-08,Small (1-50),Healthcare,Professional,,True
1244,HubSpot,2024-04-28,Medium (51-200),Education,Business,12.0,True
1245,HubSpot,2024-01-23,Enterprise (1000+),Finance,Business,13.0,True
1246,HubSpot,2024-02-24,Large (201-1000),Manufacturing,Enterprise,8.0,True
1247,HubSpot,2024-02-08,Large (201-1000),Technology,Enterprise,17.0,True
1248,HubSpot,2024-04-26,Large (201-1000),Retail,Enterprise,19.0,True
1249,HubSpot,2024-02-07,Enterprise (1000+),Finance,Enterprise,23.0,True
1250,HubSpot,2024-01-25,Enterprise (1000+),Retail,Business,12.0,True
1251,HubSpot,2024-02-25,Small (1-50),Finance,Starter,16.0,True
1252,HubSpot,2024-04-15,Enterprise (1000+),Education,Business,21.0,False
1253,HubSpot,2024-05-05,Large (201-1000),Finance,Enterprise,8.0,False
1254,HubSpot,2024-04-05,Enterprise (1000+),Manufacturing,Enterprise,28.0,True
1255,HubSpot,2024-01-18,Medium (51-200),Technology,Business,,True
1256,HubSpot,2024-04-06,Large (201-1000),Retail,Enterprise,8.0,True
1257,HubSpot,2024-04-10,Enterprise (1000+),Finance,Enterprise,9.0,True
1258,HubSpot,2024-03-22,Large (201-1000),Finance,Enterprise,14.0,True
1259,HubSpot,2024-01-18,Medium (51-200),Manufacturing,Business,24.0,False
1260,HubSpot,2024-04-23,Large (201-1000),Healthcare,Enterprise,16.0,True
1261,HubSpot,2024-03-17,Medium (51-200),Healthcare,Professional,21.0,True
1262,HubSpot,2024-04-15,Enterprise (1000+),Education,Business,17.0,True
1263,HubSpot,2024-04-14,Small (1-50),Finance,Professional,29.0,True
1264,HubSpot,2024-04-13,Medium (51-200),Manufacturing,Business,13.0,True
1265,HubSpot,2024-02-14,Enterprise (1000+),Finance,Business,18.0,True
1266,HubSpot,2024-03-25,Medium (51-200),Technology,Professional,29.0,True
1267,HubSpot,2024-03-22,Enterprise (1000+),Manufacturing,Enterprise,,True
1268,HubSpot,2024-04-06,Small (1-50),Retail,Professional,18.0,True
1269,HubSpot,2024-04-30,Medium (51-200),Retail,Professional,8.0,True
1270,HubSpot,2024-03-21,Medium (51-200),Healthcare,Business,29.0,True
1271,HubSpot,2024-05-14,Large (201-1000),Finance,Business,24.0,True
1272,HubSpot,2024-04-04,Large (201-1000),Manufacturing,Business,25.0,True
1273,HubSpot,2024-02-03,Medium (51-200),Manufacturing,Business,,True
1274,HubSpot,2024-01-25,Small (1-50),Education,Professional,25.0,True
1275,HubSpot,2024-04-05,Small (1-50),Education,Professional,27.0,True
1276,HubSpot,2024-03-16,Medium (51-200),Finance,Business,29.0,False
1277,HubSpot,2024-03-11,Enterprise (1000+),Retail,Enterprise,26.0,True
1278,HubSpot,2024-05-04,Large (201-1000),Retail,Enterprise,,True
1279,HubSpot,2024-03-26,Small (1-50),Healthcare,Professional,15.0,True
1280,HubSpot,2024-02-02,Small (1-50),Finance,Starter,26.0,True
1281,HubSpot,2024-05-04,Medium (51-200),Manufacturing,Business,13.0,True
1282,HubSpot,2024-03-18,Enterprise (1000+),Finance,Enterprise,9.0,True
1283,HubSpot,2024-03-19,Enterprise (1000+),Healthcare,Business,8.0,False
1284,HubSpot,2024-03-18,Enterprise (1000+),Manufacturing,Enterprise,,False
1285,HubSpot,2024-02-01,Large (201-1000),Retail,Enterprise,19.0,False
1286,HubSpot,2024-03-26,Medium (51-200),Manufacturing,Business,19.0,True
1287,HubSpot,2024-04-21,Large (201-1000),Healthcare,Business,19.0,True
1288,HubSpot,2024-02-27,Large (201-1000),Healthcare,Business,19.0,True
1289,HubSpot,2024-01-20,Small (1-50),Education,Starter,22.0,True
1290,HubSpot,2024-02-03,Medium (51-200),Manufacturing,Business,19.0,True
1291,HubSpot,2024-04-18,Large (201-1000),Manufacturing,Enterprise,24.0,True
1292,HubSpot,2024-03-27,Large (201-1000),Technology,Enterprise,28.0,False
