customer_id,revenue_date,subscription_tier,monthly_revenue,acquisition_source,customer_lifetime_month
1001,2024-05-11,Enterprise,199,HubSpot,1
1001,2024-06-10,Enterprise,199,HubSpot,2
1001,2024-07-10,Enterprise,199,HubSpot,3
1001,2024-08-09,Enterprise,199,HubSpot,4
1001,2024-09-08,Enterprise,199,HubSpot,5
1001,2024-10-08,Enterprise,199,HubSpot,6
1001,2024-11-07,Enterprise,199,HubSpot,7
1001,2024-12-07,Enterprise,199,HubSpot,8
1001,2025-01-06,Enterprise,199,HubSpot,9
1001,2025-02-05,Enterprise,199,HubSpot,10
1001,2025-03-07,Enterprise,199,HubSpot,11
1001,2025-04-06,Enterprise,199,HubSpot,12
1002,2024-02-20,Business,99,HubSpot,1
1002,2024-03-21,Business,99,HubSpot,2
1002,2024-04-20,Business,99,HubSpot,3
1002,2024-05-20,Business,99,HubSpot,4
1002,2024-06-19,Enterprise,199,HubSpot,5
1002,2024-07-19,Enterprise,199,HubSpot,6
1002,2024-08-18,Enterprise,199,HubSpot,7
1003,2024-03-17,Enterprise,199,HubSpot,1
1003,2024-04-16,Enterprise,199,HubSpot,2
1003,2024-05-16,Enterprise,199,HubSpot,3
1003,2024-06-15,Enterprise,199,HubSpot,4
1003,2024-07-15,Enterprise,199,HubSpot,5
1003,2024-08-14,Enterprise,199,HubSpot,6
1003,2024-09-13,Enterprise,199,HubSpot,7
1003,2024-10-13,Enterprise,199,HubSpot,8
1004,2024-05-25,Professional,59,HubSpot,1
1004,2024-06-24,Professional,59,HubSpot,2
1004,2024-07-24,Professional,59,HubSpot,3
1004,2024-08-23,Professional,59,HubSpot,4
1004,2024-09-22,Professional,59,HubSpot,5
1004,2024-10-22,Professional,59,HubSpot,6
1004,2024-11-21,Business,99,HubSpot,7
1007,2024-02-14,Professional,59,HubSpot,1
1007,2024-03-15,Professional,59,HubSpot,2
1007,2024-04-14,Professional,59,HubSpot,3
1009,2024-03-10,Enterprise,199,HubSpot,1
1009,2024-04-09,Enterprise,199,HubSpot,2
1009,2024-05-09,Enterprise,199,HubSpot,3
1009,2024-06-08,Enterprise,199,HubSpot,4
1009,2024-07-08,Enterprise,199,HubSpot,5
1009,2024-08-07,Enterprise,199,HubSpot,6
1009,2024-09-06,Enterprise,199,HubSpot,7
1010,2024-04-25,Professional,59,HubSpot,1
1010,2024-05-25,Professional,59,HubSpot,2
1010,2024-06-24,Professional,59,HubSpot,3
1010,2024-07-24,Professional,59,HubSpot,4
1010,2024-08-23,Professional,59,HubSpot,5
